Created directory results\ACM_2022-09-26_14-31-44
Downloading C:\Users\lenovo\.dgl/ACM3025.pkl from https://data.dgl.ai/dataset/ACM3025.pkl...
dataset loaded
{'dataset': '细胞因子', 'test': 0.4, 'train': 0.2, 'val': 0.4}
bbbbb
aaaaaaaaaaaaaaaaaaaaaaa
Epoch 35 | Train Loss 0.6168 | Train Micro f1 0.9500 | Train Macro f1 0.9499 | Val Loss 0.6604 | Val Micro f1 0.7188 | Val Macro f1 0.6946
Epoch 36 | Train Loss 0.6227 | Train Micro f1 0.9125 | Train Macro f1 0.9118 | Val Loss 0.6589 | Val Micro f1 0.7312 | Val Macro f1 0.7103
Epoch 37 | Train Loss 0.6303 | Train Micro f1 0.9000 | Train Macro f1 0.8990 | Val Loss 0.6574 | Val Micro f1 0.7375 | Val Macro f1 0.7181
Epoch 38 | Train Loss 0.6234 | Train Micro f1 0.9375 | Train Macro f1 0.9373 | Val Loss 0.6558 | Val Micro f1 0.7375 | Val Macro f1 0.7181
Epoch 39 | Train Loss 0.6137 | Train Micro f1 0.9250 | Train Macro f1 0.9246 | Val Loss 0.6542 | Val Micro f1 0.7438 | Val Macro f1 0.7257
Epoch 40 | Train Loss 0.6185 | Train Micro f1 0.9000 | Train Macro f1 0.8990 | Val Loss 0.6525 | Val Micro f1 0.7438 | Val Macro f1 0.7257
Epoch 41 | Train Loss 0.6091 | Train Micro f1 0.9625 | Train Macro f1 0.9624 | Val Loss 0.6508 | Val Micro f1 0.7438 | Val Macro f1 0.7257
Epoch 42 | Train Loss 0.6084 | Train Micro f1 0.9750 | Train Macro f1 0.9750 | Val Loss 0.6490 | Val Micro f1 0.7438 | Val Macro f1 0.7257
Epoch 43 | Train Loss 0.6013 | Train Micro f1 0.9625 | Train Macro f1 0.9624 | Val Loss 0.6472 | Val Micro f1 0.7438 | Val Macro f1 0.7257
Epoch 44 | Train Loss 0.6076 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.6454 | Val Micro f1 0.7438 | Val Macro f1 0.7257
Epoch 45 | Train Loss 0.5981 | Train Micro f1 0.9375 | Train Macro f1 0.9373 | Val Loss 0.6435 | Val Micro f1 0.7438 | Val Macro f1 0.7257
Epoch 46 | Train Loss 0.6019 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.6415 | Val Micro f1 0.7500 | Val Macro f1 0.7333
Epoch 47 | Train Loss 0.5840 | Train Micro f1 0.9875 | Train Macro f1 0.9875 | Val Loss 0.6396 | Val Micro f1 0.7562 | Val Macro f1 0.7409
Epoch 48 | Train Loss 0.5898 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.6375 | Val Micro f1 0.7562 | Val Macro f1 0.7409
Epoch 49 | Train Loss 0.5875 | Train Micro f1 0.9750 | Train Macro f1 0.9750 | Val Loss 0.6354 | Val Micro f1 0.7625 | Val Macro f1 0.7483
Epoch 50 | Train Loss 0.5696 | Train Micro f1 0.9750 | Train Macro f1 0.9750 | Val Loss 0.6332 | Val Micro f1 0.7688 | Val Macro f1 0.7557
Epoch 51 | Train Loss 0.5618 | Train Micro f1 0.9875 | Train Macro f1 0.9875 | Val Loss 0.6309 | Val Micro f1 0.7812 | Val Macro f1 0.7703
