{'lr': 0.003, 'lr2': 0.001, 'num_heads': [8], 'hidden_units': 8, 'dropout': 0.6, 'weight_decay': 0.001, 'weight_decay2': 0.001, 'num_epochs': 50, 'num_epochs1': 117, 'patience': 100}
Created directory results\IMDB_2022-11-20_10-23-36
dataset loaded
{'dataset': 'ACM',
 'test': 0.8174627319744447,
 'train': 0.09126863401277761,
 'val': 0.09126863401277761}
bbbbb
aaaaaaaaaaaaaaaaaaaaaaa
Epoch 35 | Train Loss 1.0050 | Train Micro f1 0.7733 | Train Macro f1 0.7722 | Val Loss 1.0515 | Val Micro f1 0.6100 | Val Macro f1 0.5964
Epoch 36 | Train Loss 0.9907 | Train Micro f1 0.8367 | Train Macro f1 0.8356 | Val Loss 1.0495 | Val Micro f1 0.6000 | Val Macro f1 0.5867
Epoch 37 | Train Loss 0.9985 | Train Micro f1 0.8233 | Train Macro f1 0.8223 | Val Loss 1.0474 | Val Micro f1 0.6000 | Val Macro f1 0.5863
Epoch 38 | Train Loss 0.9842 | Train Micro f1 0.8167 | Train Macro f1 0.8152 | Val Loss 1.0453 | Val Micro f1 0.6067 | Val Macro f1 0.5947
Epoch 39 | Train Loss 0.9853 | Train Micro f1 0.8200 | Train Macro f1 0.8193 | Val Loss 1.0432 | Val Micro f1 0.6100 | Val Macro f1 0.5976
Epoch 40 | Train Loss 0.9771 | Train Micro f1 0.8433 | Train Macro f1 0.8432 | Val Loss 1.0409 | Val Micro f1 0.6100 | Val Macro f1 0.5971
Epoch 41 | Train Loss 0.9665 | Train Micro f1 0.8000 | Train Macro f1 0.7985 | Val Loss 1.0386 | Val Micro f1 0.6133 | Val Macro f1 0.6006
Epoch 42 | Train Loss 0.9677 | Train Micro f1 0.8200 | Train Macro f1 0.8189 | Val Loss 1.0362 | Val Micro f1 0.6100 | Val Macro f1 0.5966
Epoch 43 | Train Loss 0.9590 | Train Micro f1 0.8367 | Train Macro f1 0.8348 | Val Loss 1.0338 | Val Micro f1 0.6100 | Val Macro f1 0.5966
Epoch 44 | Train Loss 0.9590 | Train Micro f1 0.8100 | Train Macro f1 0.8089 | Val Loss 1.0312 | Val Micro f1 0.6100 | Val Macro f1 0.5969
Epoch 45 | Train Loss 0.9443 | Train Micro f1 0.8333 | Train Macro f1 0.8326 | Val Loss 1.0285 | Val Micro f1 0.6133 | Val Macro f1 0.5995
Epoch 46 | Train Loss 0.9467 | Train Micro f1 0.8400 | Train Macro f1 0.8398 | Val Loss 1.0258 | Val Micro f1 0.6033 | Val Macro f1 0.5874
Epoch 47 | Train Loss 0.9300 | Train Micro f1 0.8167 | Train Macro f1 0.8148 | Val Loss 1.0229 | Val Micro f1 0.6000 | Val Macro f1 0.5841
Epoch 48 | Train Loss 0.9420 | Train Micro f1 0.8033 | Train Macro f1 0.8009 | Val Loss 1.0200 | Val Micro f1 0.5933 | Val Macro f1 0.5766
Epoch 49 | Train Loss 0.9346 | Train Micro f1 0.8133 | Train Macro f1 0.8112 | Val Loss 1.0170 | Val Micro f1 0.5867 | Val Macro f1 0.5695
Epoch 50 | Train Loss 0.9244 | Train Micro f1 0.8333 | Train Macro f1 0.8322 | Val Loss 1.0139 | Val Micro f1 0.5867 | Val Macro f1 0.5694
Epoch 51 | Train Loss 0.9195 | Train Micro f1 0.7967 | Train Macro f1 0.7957 | Val Loss 1.0107 | Val Micro f1 0.5900 | Val Macro f1 0.5729
Epoch 52 | Train Loss 0.9016 | Train Micro f1 0.8633 | Train Macro f1 0.8621 | Val Loss 1.0073 | Val Micro f1 0.5900 | Val Macro f1 0.5729
Epoch 53 | Train Loss 0.9089 | Train Micro f1 0.8333 | Train Macro f1 0.8313 | Val Loss 1.0039 | Val Micro f1 0.5867 | Val Macro f1 0.5703
Epoch 54 | Train Loss 0.8848 | Train Micro f1 0.8300 | Train Macro f1 0.8277 | Val Loss 1.0004 | Val Micro f1 0.5900 | Val Macro f1 0.5753
Epoch 55 | Train Loss 0.8912 | Train Micro f1 0.8233 | Train Macro f1 0.8227 | Val Loss 0.9968 | Val Micro f1 0.5867 | Val Macro f1 0.5712
Epoch 56 | Train Loss 0.8564 | Train Micro f1 0.8333 | Train Macro f1 0.8310 | Val Loss 0.9931 | Val Micro f1 0.5833 | Val Macro f1 0.5678
Epoch 57 | Train Loss 0.8607 | Train Micro f1 0.8467 | Train Macro f1 0.8458 | Val Loss 0.9894 | Val Micro f1 0.5867 | Val Macro f1 0.5702
Epoch 58 | Train Loss 0.8518 | Train Micro f1 0.8433 | Train Macro f1 0.8425 | Val Loss 0.9856 | Val Micro f1 0.5933 | Val Macro f1 0.5770
Epoch 59 | Train Loss 0.8405 | Train Micro f1 0.8267 | Train Macro f1 0.8244 | Val Loss 0.9819 | Val Micro f1 0.5833 | Val Macro f1 0.5660
Epoch 60 | Train Loss 0.8352 | Train Micro f1 0.8067 | Train Macro f1 0.8059 | Val Loss 0.9783 | Val Micro f1 0.5833 | Val Macro f1 0.5661
Epoch 61 | Train Loss 0.8148 | Train Micro f1 0.8233 | Train Macro f1 0.8227 | Val Loss 0.9747 | Val Micro f1 0.5767 | Val Macro f1 0.5592
Epoch 62 | Train Loss 0.7917 | Train Micro f1 0.8033 | Train Macro f1 0.8021 | Val Loss 0.9712 | Val Micro f1 0.5733 | Val Macro f1 0.5550
Epoch 63 | Train Loss 0.8009 | Train Micro f1 0.8067 | Train Macro f1 0.8040 | Val Loss 0.9677 | Val Micro f1 0.5733 | Val Macro f1 0.5550
Epoch 64 | Train Loss 0.8116 | Train Micro f1 0.8033 | Train Macro f1 0.7993 | Val Loss 0.9643 | Val Micro f1 0.5733 | Val Macro f1 0.5563
Epoch 65 | Train Loss 0.7738 | Train Micro f1 0.8500 | Train Macro f1 0.8482 | Val Loss 0.9609 | Val Micro f1 0.5700 | Val Macro f1 0.5538
Epoch 66 | Train Loss 0.7792 | Train Micro f1 0.8167 | Train Macro f1 0.8126 | Val Loss 0.9576 | Val Micro f1 0.5700 | Val Macro f1 0.5538
Epoch 67 | Train Loss 0.7736 | Train Micro f1 0.8267 | Train Macro f1 0.8267 | Val Loss 0.9543 | Val Micro f1 0.5700 | Val Macro f1 0.5534
Epoch 68 | Train Loss 0.7435 | Train Micro f1 0.7867 | Train Macro f1 0.7857 | Val Loss 0.9511 | Val Micro f1 0.5700 | Val Macro f1 0.5534
Epoch 69 | Train Loss 0.7530 | Train Micro f1 0.8067 | Train Macro f1 0.8054 | Val Loss 0.9479 | Val Micro f1 0.5667 | Val Macro f1 0.5509
Epoch 70 | Train Loss 0.7098 | Train Micro f1 0.8300 | Train Macro f1 0.8289 | Val Loss 0.9448 | Val Micro f1 0.5733 | Val Macro f1 0.5584
Epoch 71 | Train Loss 0.7531 | Train Micro f1 0.8067 | Train Macro f1 0.8037 | Val Loss 0.9417 | Val Micro f1 0.5767 | Val Macro f1 0.5625
Epoch 72 | Train Loss 0.7581 | Train Micro f1 0.8000 | Train Macro f1 0.7981 | Val Loss 0.9386 | Val Micro f1 0.5767 | Val Macro f1 0.5625
Epoch 73 | Train Loss 0.7072 | Train Micro f1 0.8433 | Train Macro f1 0.8419 | Val Loss 0.9355 | Val Micro f1 0.5767 | Val Macro f1 0.5625
Epoch 74 | Train Loss 0.7160 | Train Micro f1 0.8067 | Train Macro f1 0.8056 | Val Loss 0.9326 | Val Micro f1 0.5733 | Val Macro f1 0.5599
Epoch 75 | Train Loss 0.7347 | Train Micro f1 0.7900 | Train Macro f1 0.7894 | Val Loss 0.9298 | Val Micro f1 0.5767 | Val Macro f1 0.5654
Epoch 76 | Train Loss 0.6938 | Train Micro f1 0.8467 | Train Macro f1 0.8455 | Val Loss 0.9270 | Val Micro f1 0.5767 | Val Macro f1 0.5654
Epoch 77 | Train Loss 0.6545 | Train Micro f1 0.8233 | Train Macro f1 0.8222 | Val Loss 0.9242 | Val Micro f1 0.5767 | Val Macro f1 0.5654
Epoch 78 | Train Loss 0.6934 | Train Micro f1 0.8300 | Train Macro f1 0.8285 | Val Loss 0.9215 | Val Micro f1 0.5733 | Val Macro f1 0.5620
Epoch 79 | Train Loss 0.6835 | Train Micro f1 0.8133 | Train Macro f1 0.8132 | Val Loss 0.9189 | Val Micro f1 0.5800 | Val Macro f1 0.5698
Epoch 80 | Train Loss 0.6563 | Train Micro f1 0.8433 | Train Macro f1 0.8436 | Val Loss 0.9165 | Val Micro f1 0.5767 | Val Macro f1 0.5663
Epoch 81 | Train Loss 0.6710 | Train Micro f1 0.8000 | Train Macro f1 0.7997 | Val Loss 0.9141 | Val Micro f1 0.5800 | Val Macro f1 0.5709
Epoch 82 | Train Loss 0.6538 | Train Micro f1 0.8433 | Train Macro f1 0.8433 | Val Loss 0.9117 | Val Micro f1 0.5833 | Val Macro f1 0.5761
Epoch 83 | Train Loss 0.6540 | Train Micro f1 0.8133 | Train Macro f1 0.8137 | Val Loss 0.9095 | Val Micro f1 0.5833 | Val Macro f1 0.5761
Epoch 84 | Train Loss 0.6671 | Train Micro f1 0.8000 | Train Macro f1 0.8004 | Val Loss 0.9073 | Val Micro f1 0.5800 | Val Macro f1 0.5726
Epoch 85 | Train Loss 0.6427 | Train Micro f1 0.8367 | Train Macro f1 0.8360 | Val Loss 0.9054 | Val Micro f1 0.5800 | Val Macro f1 0.5726
Epoch 86 | Train Loss 0.6420 | Train Micro f1 0.8467 | Train Macro f1 0.8456 | Val Loss 0.9036 | Val Micro f1 0.5867 | Val Macro f1 0.5802
Epoch 87 | Train Loss 0.5794 | Train Micro f1 0.8633 | Train Macro f1 0.8635 | Val Loss 0.9020 | Val Micro f1 0.5833 | Val Macro f1 0.5761
