,nodes
9606.ENSP00000337825,219
9606.ENSP00000046794,220
9606.ENSP00000312652,221
9606.ENSP00000302297,222
9606.ENSP00000368516,223
9606.ENSP00000344401,224
9606.ENSP00000337354,225
9606.ENSP00000399441,226
9606.ENSP00000428924,227
9606.ENSP00000292599,228
9606.ENSP00000414517,229
9606.ENSP00000215832,230
9606.ENSP00000263025,231
9606.ENSP00000378974,232
9606.ENSP00000385610,233
9606.ENSP00000361405,234
9606.ENSP00000225275,235
9606.ENSP00000288937,236
9606.ENSP00000401399,237
9606.ENSP00000480132,238
9606.ENSP00000367301,239
9606.ENSP00000252102,240
9606.ENSP00000226574,241
9606.ENSP00000384625,242
9606.ENSP00000300589,243
9606.ENSP00000287139,244
9606.ENSP00000316032,245
9606.ENSP00000480616,246
9606.ENSP00000215781,247
9606.ENSP00000285420,248
9606.ENSP00000380378,249
9606.ENSP00000355865,250
9606.ENSP00000405890,251
9606.ENSP00000330382,252
9606.ENSP00000457421,253
9606.ENSP00000314420,254
9606.ENSP00000296029,255
9606.ENSP00000263967,256
9606.ENSP00000428056,257
9606.ENSP00000237596,258
9606.ENSP00000296028,259
9606.ENSP00000398568,260
9606.ENSP00000349428,261
9606.ENSP00000356438,262
9606.ENSP00000340944,263
9606.ENSP00000391592,264
9606.ENSP00000411355,265
9606.ENSP00000386894,266
9606.ENSP00000384273,267
9606.ENSP00000296292,268
9606.ENSP00000360497,269
9606.ENSP00000342755,270
9606.ENSP00000413436,271
9606.ENSP00000278572,272
9606.ENSP00000352608,273
9606.ENSP00000305416,274
9606.ENSP00000381824,275
9606.ENSP00000467423,276
9606.ENSP00000353292,277
9606.ENSP00000236147,278
9606.ENSP00000314029,279
9606.ENSP00000335321,280
9606.ENSP00000274063,281
9606.ENSP00000266066,282
9606.ENSP00000401303,283
9606.ENSP00000274255,284
9606.ENSP00000384763,285
9606.ENSP00000387784,286
9606.ENSP00000227163,287
9606.ENSP00000311609,288
9606.ENSP00000362680,289
9606.ENSP00000376276,290
9606.ENSP00000354394,291
9606.ENSP00000264657,292
9606.ENSP00000376134,293
9606.ENSP00000341208,294
9606.ENSP00000293328,295
9606.ENSP00000300134,296
9606.ENSP00000478059,297
9606.ENSP00000219548,298
9606.ENSP00000222812,299
9606.ENSP00000364907,300
9606.ENSP00000177694,301
9606.ENSP00000309913,302
9606.ENSP00000218388,303
9606.ENSP00000354932,304
9606.ENSP00000308925,305
9606.ENSP00000260010,306
9606.ENSP00000296795,307
9606.ENSP00000363089,308
9606.ENSP00000440643,309
9606.ENSP00000389600,310
9606.ENSP00000370034,311
9606.ENSP00000312082,312
9606.ENSP00000353874,313
9606.ENSP00000398698,314
9606.ENSP00000162749,315
9606.ENSP00000365435,316
9606.ENSP00000433623,317
9606.ENSP00000431885,318
9606.ENSP00000262629,319
9606.ENSP00000313454,320
9606.ENSP00000381717,321
9606.ENSP00000472929,322
9606.ENSP00000294728,323
9606.ENSP00000258411,324
9606.ENSP00000301061,325
9606.ENSP00000325526,326
9606.ENSP00000222462,327
9606.ENSP00000358698,328
9606.ENSP00000225512,329
9606.ENSP00000290167,330
9606.ENSP00000380379,331
9606.ENSP00000233948,332
9606.ENSP00000285018,333
9606.ENSP00000341032,334
9606.ENSP00000426653,335
9606.ENSP00000340677,336
9606.ENSP00000272164,337
9606.ENSP00000261292,338
9606.ENSP00000247005,339
9606.ENSP00000478570,340
9606.ENSP00000290015,341
9606.ENSP00000435233,342
9606.ENSP00000293414,343
9606.ENSP00000403954,344
9606.ENSP00000262394,345
9606.ENSP00000438492,346
9606.ENSP00000457206,347
9606.ENSP00000409131,348
9606.ENSP00000386532,349
9606.ENSP00000369855,350
9606.ENSP00000297661,351
9606.ENSP00000375067,352
9606.ENSP00000293922,353
9606.ENSP00000368666,354
9606.ENSP00000264972,355
9606.ENSP00000372351,356
9606.ENSP00000318650,357
9606.ENSP00000248248,358
9606.ENSP00000252826,359
9606.ENSP00000339804,360
9606.ENSP00000338788,361
9606.ENSP00000370201,362
9606.ENSP00000352678,363
9606.ENSP00000396704,364
9606.ENSP00000285208,365
9606.ENSP00000429430,366
9606.ENSP00000382779,367
9606.ENSP00000322439,368
9606.ENSP00000315387,369
9606.ENSP00000365130,370
9606.ENSP00000255198,371
9606.ENSP00000338562,372
9606.ENSP00000347195,373
9606.ENSP00000352527,374
9606.ENSP00000330221,375
9606.ENSP00000441214,376
9606.ENSP00000356064,377
9606.ENSP00000356599,378
9606.ENSP00000411409,379
9606.ENSP00000327994,380
